#options: 640x360 fps=2500000/104271 timebase=104271/2500000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=980 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.52 tex:25410 mv:10002 misc:116 imb:920 pmb:0 smb:0 d:- ref:;
in:60 out:60 type:P dur:2 cpbdur:2 q:23.34 tex:145295 mv:4006 misc:307 imb:162 pmb:729 smb:29 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:23.16 tex:26250 mv:1463 misc:967 imb:22 pmb:561 smb:337 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:23.25 tex:1188 mv:283 misc:617 imb:1 pmb:113 smb:806 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:23.30 tex:517 mv:124 misc:407 imb:0 pmb:54 smb:866 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:23.21 tex:370 mv:96 misc:326 imb:0 pmb:36 smb:884 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:22.32 tex:25457 mv:651 misc:1036 imb:9 pmb:405 smb:506 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:22.74 tex:1385 mv:242 misc:581 imb:0 pmb:97 smb:823 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:22.95 tex:292 mv:105 misc:315 imb:1 pmb:33 smb:886 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:22.53 tex:327 mv:76 misc:317 imb:0 pmb:32 smb:888 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:22.49 tex:8704 mv:444 misc:812 imb:10 pmb:210 smb:700 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:22.41 tex:1047 mv:197 misc:500 imb:1 pmb:74 smb:845 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:22.37 tex:446 mv:103 misc:347 imb:0 pmb:43 smb:877 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:22.45 tex:271 mv:61 misc:268 imb:0 pmb:23 smb:897 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:21.71 tex:42964 mv:2696 misc:852 imb:101 pmb:477 smb:342 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:22.10 tex:2465 mv:837 misc:882 imb:3 pmb:280 smb:637 d:- ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:22.30 tex:811 mv:238 misc:535 imb:0 pmb:94 smb:826 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:21.91 tex:5202 mv:555 misc:747 imb:6 pmb:171 smb:743 d:- ref:0 ;
in:79 out:77 type:P dur:2 cpbdur:2 q:20.86 tex:85230 mv:2325 misc:845 imb:38 pmb:581 smb:301 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:21.15 tex:7194 mv:979 misc:747 imb:5 pmb:219 smb:696 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:21.43 tex:4499 mv:396 misc:537 imb:5 pmb:113 smb:802 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:20.48 tex:123429 mv:2846 misc:805 imb:67 pmb:528 smb:325 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:20.67 tex:25175 mv:1748 misc:805 imb:16 pmb:333 smb:571 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:20.09 tex:95756 mv:2770 misc:786 imb:66 pmb:539 smb:315 d:- ref:0 ;
in:84 out:83 type:P dur:2 cpbdur:2 q:20.34 tex:112099 mv:3327 misc:710 imb:83 pmb:516 smb:321 d:- ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:20.21 tex:18534 mv:1754 misc:792 imb:16 pmb:301 smb:603 d:- ref:0 ;
in:86 out:85 type:P dur:2 cpbdur:2 q:19.99 tex:131933 mv:3167 misc:708 imb:84 pmb:522 smb:314 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:20.17 tex:16380 mv:1916 misc:776 imb:14 pmb:294 smb:612 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:20.36 tex:99003 mv:2335 misc:718 imb:42 pmb:508 smb:370 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:20.63 tex:93085 mv:1674 misc:753 imb:25 pmb:462 smb:433 d:- ref:0 w:6,65,-3 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:20.98 tex:93349 mv:1416 misc:739 imb:19 pmb:431 smb:470 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:20.88 tex:63571 mv:1595 misc:898 imb:51 pmb:535 smb:334 d:- ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:21.29 tex:19559 mv:1007 misc:978 imb:25 pmb:353 smb:542 d:- ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:21.08 tex:895 mv:270 misc:587 imb:1 pmb:94 smb:825 d:- ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:20.98 tex:554 mv:157 misc:449 imb:1 pmb:59 smb:860 d:- ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:21.19 tex:373 mv:94 misc:333 imb:0 pmb:35 smb:885 d:- ref:0 ;
in:98 out:95 type:P dur:2 cpbdur:2 q:21.90 tex:13807 mv:1332 misc:1029 imb:38 pmb:321 smb:561 d:- ref:0 ;
in:96 out:96 type:B dur:2 cpbdur:2 q:21.60 tex:1081 mv:351 misc:656 imb:0 pmb:135 smb:785 d:- ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:21.44 tex:429 mv:109 misc:350 imb:0 pmb:42 smb:878 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:21.75 tex:810 mv:213 misc:553 imb:0 pmb:93 smb:827 d:- ref:0 ;
in:102 out:99 type:P dur:2 cpbdur:2 q:21.55 tex:8152 mv:711 misc:841 imb:19 pmb:185 smb:716 d:- ref:0 ;
in:100 out:100 type:B dur:2 cpbdur:2 q:21.73 tex:610 mv:166 misc:480 imb:0 pmb:66 smb:854 d:- ref:0 ;
in:99 out:101 type:b dur:2 cpbdur:2 q:21.82 tex:369 mv:148 misc:363 imb:1 pmb:41 smb:878 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:21.64 tex:340 mv:93 misc:327 imb:1 pmb:34 smb:885 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:20.91 tex:32658 mv:1860 misc:1002 imb:55 pmb:494 smb:371 d:- ref:0 ;
in:104 out:104 type:B dur:2 cpbdur:2 q:21.23 tex:1224 mv:328 misc:736 imb:0 pmb:160 smb:760 d:- ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:21.39 tex:515 mv:99 misc:346 imb:0 pmb:39 smb:881 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:21.07 tex:1123 mv:383 misc:726 imb:0 pmb:164 smb:756 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:20.26 tex:10070 mv:567 misc:883 imb:11 pmb:225 smb:684 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:20.58 tex:917 mv:222 misc:461 imb:1 pmb:70 smb:849 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:20.75 tex:433 mv:112 misc:367 imb:0 pmb:42 smb:878 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:20.42 tex:343 mv:89 misc:296 imb:0 pmb:31 smb:889 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:19.73 tex:3690 mv:303 misc:655 imb:7 pmb:110 smb:803 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:19.99 tex:534 mv:162 misc:384 imb:0 pmb:47 smb:873 d:- ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:20.12 tex:345 mv:100 misc:291 imb:0 pmb:30 smb:890 d:- ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:19.86 tex:403 mv:56 misc:293 imb:0 pmb:29 smb:891 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:19.10 tex:2834 mv:226 misc:580 imb:3 pmb:85 smb:832 d:- ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:19.41 tex:570 mv:93 misc:361 imb:0 pmb:38 smb:882 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:19.57 tex:429 mv:62 misc:309 imb:0 pmb:29 smb:891 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:19.26 tex:474 mv:84 misc:298 imb:0 pmb:29 smb:891 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:18.45 tex:8924 mv:209 misc:867 imb:1 pmb:220 smb:699 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:18.28 tex:246242 mv:3164 misc:242 imb:129 pmb:774 smb:17 d:- ref:0 ;
in:124 out:121 type:P dur:2 cpbdur:2 q:18.13 tex:29169 mv:1849 misc:950 imb:38 pmb:578 smb:304 d:- ref:0 ;
in:122 out:122 type:B dur:2 cpbdur:2 q:18.21 tex:3451 mv:639 misc:902 imb:1 pmb:250 smb:669 d:- ref:0 ;
in:121 out:123 type:b dur:2 cpbdur:2 q:18.24 tex:1467 mv:491 misc:738 imb:1 pmb:158 smb:761 d:- ref:0 ;
in:123 out:124 type:b dur:2 cpbdur:2 q:18.17 tex:827 mv:198 misc:439 imb:1 pmb:62 smb:857 d:- ref:0 ;
in:128 out:125 type:P dur:2 cpbdur:2 q:17.51 tex:22493 mv:1974 misc:949 imb:62 pmb:510 smb:348 d:- ref:0 ;
in:126 out:126 type:B dur:2 cpbdur:2 q:17.82 tex:3335 mv:625 misc:904 imb:2 pmb:268 smb:650 d:- ref:0 ;
in:125 out:127 type:b dur:2 cpbdur:2 q:17.97 tex:425 mv:151 misc:400 imb:0 pmb:47 smb:873 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:17.66 tex:934 mv:331 misc:743 imb:0 pmb:181 smb:739 d:- ref:0 ;
in:130 out:129 type:P dur:2 cpbdur:2 q:18.00 tex:102018 mv:5182 misc:400 imb:263 pmb:632 smb:25 d:- ref:0 w:7,117,18,6,61,6,59,10 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:17.75 tex:22178 mv:4653 misc:753 imb:96 pmb:650 smb:174 d:- ref:0 ;
in:132 out:131 type:P dur:2 cpbdur:2 q:17.78 tex:125153 mv:5589 misc:274 imb:270 pmb:648 smb:2 d:- ref:0 w:5,29,20,6,60,8,59,10 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:17.89 tex:29186 mv:4489 misc:565 imb:64 pmb:764 smb:92 d:- ref:0 ;
in:134 out:133 type:P dur:2 cpbdur:2 q:17.48 tex:131311 mv:4911 misc:290 imb:247 pmb:665 smb:8 d:- ref:0 w:7,115,22,6,59,10,58,12 ;
